surface,draw_size,tourney_level,tourney_date,winner_id,winner_name,winner_hand,winner_ht,winner_age,loser_id,loser_name,loser_hand,loser_ht,loser_age,score,round,winner_rank,winner_rank_points,loser_rank,loser_rank_points
Clay,32,A,20210712,124079,Pedro Martinez,R,185.0,24.2,110602,Dennis Novak,R,183.0,27.8,7-5 6-1,R32,95.0,811.0,122.0,660.0
Clay,32,A,20210712,105948,Federico Coria,R,180.0,29.3,202103,Francisco Cerundolo,R,185.0,22.9,6-4 6-4,R32,77.0,933.0,116.0,698.0
Clay,32,A,20210712,106065,Marco Cecchinato,R,185.0,28.7,104755,Richard Gasquet,R,185.0,35.0,6-2 5-7 6-3,R32,82.0,888.0,54.0,1183.0
Clay,32,A,20210712,126239,Arthur Rinderknech,R,196.0,25.9,105155,Pedro Sousa,R,180.0,33.1,6-1 6-1,R32,105.0,757.0,119.0,679.0
Clay,32,A,20210712,105870,Yannick Hanfmann,R,193.0,29.6,106329,Thiago Monteiro,L,183.0,27.1,6-2 7-5,R32,107.0,747.0,93.0,831.0
Clay,32,A,20210712,106210,Jiri Vesely,L,198.0,28.0,106099,Salvatore Caruso,R,185.0,28.5,6-3 6-2,R32,81.0,897.0,96.0,803.0
Clay,32,A,20210712,200325,Emil Ruusuvuori,R,188.0,22.2,144707,Mikael Ymer,R,183.0,22.8,1-6 6-4 6-3,R32,80.0,919.0,94.0,825.0
Clay,32,A,20210712,105613,Norbert Gombos,R,193.0,30.9,104655,Pablo Cuevas,R,180.0,35.5,1-6 7-6(4) 6-2,R32,99.0,782.0,86.0,864.0
Clay,32,A,20210712,106148,Roberto Carballes Baena,R,183.0,28.3,105487,Facundo Bagnis,L,183.0,31.3,6-2 6-4,R32,97.0,796.0,74.0,938.0
Clay,32,A,20210712,105967,Henri Laaksonen,R,185.0,29.2,207518,Lorenzo Musetti,R,185.0,19.3,6-2 3-6 6-4,R32,134.0,581.0,62.0,1106.0
Clay,32,A,20210712,111200,Elias Ymer,R,183.0,25.2,106121,Taro Daniel,R,191.0,28.4,6-2 6-7(6) 6-4,R32,169.0,428.0,106.0,751.0
Clay,32,A,20210712,208029,Holger Rune,R,185.0,18.2,105430,Radu Albot,R,175.0,31.6,4-6 6-3 6-0,R32,211.0,332.0,91.0,836.0
Clay,32,A,20210712,106426,Cristian Garin,R,185.0,25.1,124079,Pedro Martinez,R,185.0,24.2,6-3 6-3,R16,18.0,2610.0,95.0,811.0
Clay,32,A,20210712,105948,Federico Coria,R,180.0,29.3,106065,Marco Cecchinato,R,185.0,28.7,4-6 6-4 6-3,R16,77.0,933.0,82.0,888.0
Clay,32,A,20210712,126239,Arthur Rinderknech,R,196.0,25.9,105357,John Millman,R,183.0,32.0,6-3 3-6 6-3,R16,105.0,757.0,45.0,1476.0
Clay,32,A,20210712,105870,Yannick Hanfmann,R,193.0,29.6,106210,Jiri Vesely,L,198.0,28.0,6-4 6-3,R16,107.0,747.0,81.0,897.0
Clay,32,A,20210712,105613,Norbert Gombos,R,193.0,30.9,200325,Emil Ruusuvuori,R,188.0,22.2,6-2 6-4,R16,99.0,782.0,80.0,919.0
Clay,32,A,20210712,106148,Roberto Carballes Baena,R,183.0,28.3,104926,Fabio Fognini,R,178.0,34.1,6-3 1-6 6-4,R16,97.0,796.0,31.0,1868.0
Clay,32,A,20210712,105967,Henri Laaksonen,R,185.0,29.2,111200,Elias Ymer,R,183.0,25.2,6-2 7-5,R16,134.0,581.0,169.0,428.0
Clay,32,A,20210712,134770,Casper Ruud,R,183.0,22.5,208029,Holger Rune,R,185.0,18.2,6-0 6-2,R16,16.0,2725.0,211.0,332.0
Clay,32,A,20210712,105948,Federico Coria,R,180.0,29.3,106426,Cristian Garin,R,185.0,25.1,6-4 4-6 6-2,QF,77.0,933.0,18.0,2610.0
Clay,32,A,20210712,105870,Yannick Hanfmann,R,193.0,29.6,126239,Arthur Rinderknech,R,196.0,25.9,6-4 6-3,QF,107.0,747.0,105.0,757.0
Clay,32,A,20210712,106148,Roberto Carballes Baena,R,183.0,28.3,105613,Norbert Gombos,R,193.0,30.9,6-4 6-2,QF,97.0,796.0,99.0,782.0
Clay,32,A,20210712,134770,Casper Ruud,R,183.0,22.5,105967,Henri Laaksonen,R,185.0,29.2,W/O,QF,16.0,2725.0,134.0,581.0
Clay,32,A,20210712,105948,Federico Coria,R,180.0,29.3,105870,Yannick Hanfmann,R,193.0,29.6,6-2 6-1,SF,77.0,933.0,107.0,747.0
Clay,32,A,20210712,134770,Casper Ruud,R,183.0,22.5,106148,Roberto Carballes Baena,R,183.0,28.3,6-1 6-4,SF,16.0,2725.0,97.0,796.0
Clay,32,A,20210712,134770,Casper Ruud,R,183.0,22.5,105948,Federico Coria,R,180.0,29.3,6-3 6-3,F,16.0,2725.0,77.0,933.0
Clay,32,A,20210726,124079,Pedro Martinez,R,185.0,24.2,106298,Lucas Pouille,R,185.0,27.4,6-3 6-7(4) 6-4,R32,97.0,816.0,104.0,775.0
Clay,32,A,20210726,106210,Jiri Vesely,L,198.0,28.0,105208,Ernests Gulbis,R,190.0,32.9,6-4 6-1,R32,86.0,865.0,191.0,371.0
Clay,32,A,20210726,106075,Jozef Kovalik,R,183.0,28.7,144719,Jaume Munar,R,183.0,24.2,6-4 6-4,R32,131.0,633.0,67.0,1022.0
Clay,32,A,20210726,126149,Gianluca Mager,R,185.0,26.6,110602,Dennis Novak,R,183.0,27.9,6-4 6-0,R32,74.0,960.0,124.0,660.0
Clay,32,A,20210726,106065,Marco Cecchinato,R,185.0,28.8,105430,Radu Albot,R,175.0,31.7,6-3 7-6(7),R32,83.0,888.0,92.0,836.0
Clay,32,A,20210726,127157,Daniel Altmaier,R,191.0,22.8,111513,Laslo Djere,R,188.0,26.1,4-6 6-3 6-3,R32,135.0,603.0,50.0,1342.0
Clay,32,A,20210726,126239,Arthur Rinderknech,R,196.0,26.0,105643,Federico Delbonis,L,190.0,30.8,6-2 6-4,R32,91.0,842.0,46.0,1435.0
Clay,32,A,20210726,208029,Holger Rune,R,185.0,18.2,105882,Stefano Travaglia,R,185.0,29.5,6-3 6-4,R32,206.0,349.0,88.0,861.0
Clay,32,A,20210726,126535,Carlos Taberner,R,183.0,23.9,205734,Thiago Seyboth Wild,R,185.0,21.3,3-6 6-3 6-2,R32,108.0,756.0,117.0,695.0
